date,district,commodity,min_price_rs_per_quintal,modal_price_rs_per_quintal,max_price_rs_per_quintal,avg_price_rs_per_quintal
2016-01-30,Kolar,Tomato,694.64,916.16,1205.31,949.98
2016-01-31,Kolar,Tomato,689.72,883.54,1184.27,936.99
2016-02-01,Kolar,Tomato,961.18,1182.54,1373.74,1167.46
2016-02-02,Kolar,Tomato,754.08,963.13,1167.82,960.95
2016-02-03,Kolar,Tomato,631.73,842.26,931.15,781.44
2016-02-04,Kolar,Tomato,951.38,1072.28,1351.26,1151.32
2016-02-05,Kolar,Tomato,728.8,831.41,1000.58,864.69
2016-02-06,Kolar,Tomato,867.59,1007.26,1175.99,1021.79
2016-02-07,Kolar,Tomato,582.36,751.26,865.24,723.8
2016-02-08,Kolar,Tomato,638.42,831.22,1050.25,844.34
2016-02-09,Kolar,Tomato,774.09,1018.35,1226.15,1000.12
2016-02-10,Kolar,Tomato,933.65,1087.41,1244.99,1089.32
2016-02-11,Kolar,Tomato,910.1,1023.36,1302.0,1106.05
2016-02-12,Kolar,Tomato,808.77,992.87,1232.42,1020.6
2016-02-13,Kolar,Tomato,748.29,974.51,1281.15,1014.72
2016-02-14,Kolar,Tomato,692.12,837.04,945.33,818.72
2016-02-15,Kolar,Tomato,747.65,931.85,1208.07,977.86
2016-02-16,Kolar,Tomato,779.34,966.66,1226.09,1002.72
2016-02-17,Kolar,Tomato,971.73,1152.43,1300.81,1136.27
2016-02-18,Kolar,Tomato,918.18,1070.38,1363.35,1140.77
2016-02-19,Kolar,Tomato,629.44,821.09,993.84,811.64
2016-02-20,Kolar,Tomato,811.98,1074.99,1436.45,1124.21
2016-02-21,Kolar,Tomato,893.09,993.26,1127.75,1010.42
2016-02-22,Kolar,Tomato,754.72,961.54,1212.23,983.47
2016-02-23,Kolar,Tomato,848.59,1119.41,1338.25,1093.42
2016-02-24,Kolar,Tomato,913.07,1172.89,1570.74,1241.9
2016-02-25,Kolar,Tomato,879.81,1164.01,1376.44,1128.12
2016-02-26,Kolar,Tomato,772.03,954.57,1279.64,1025.84
2016-02-27,Kolar,Tomato,888.74,1021.11,1353.35,1121.04
2016-02-28,Kolar,Tomato,881.98,1100.84,1285.33,1083.66
2016-02-29,Kolar,Tomato,964.39,1180.95,1536.27,1250.33
2016-03-01,Kolar,Tomato,859.08,1009.1,1361.17,1110.13
2016-03-02,Kolar,Tomato,865.14,1046.96,1217.79,1041.46
2016-03-03,Kolar,Tomato,825.62,939.04,1135.48,980.55
2016-03-04,Kolar,Tomato,818.96,930.74,1144.85,981.91
2016-03-05,Kolar,Tomato,882.39,1174.19,1378.19,1130.29
2016-03-06,Kolar,Tomato,1076.24,1241.76,1370.68,1223.46
2016-03-07,Kolar,Tomato,878.59,1072.62,1238.91,1058.75
2016-03-08,Kolar,Tomato,1081.44,1203.84,1409.08,1245.26
2016-03-09,Kolar,Tomato,928.5,1128.9,1366.98,1147.74
2016-03-10,Kolar,Tomato,907.09,1010.09,1154.3,1030.7
2016-03-11,Kolar,Tomato,977.8,1132.78,1493.36,1235.58
2016-03-12,Kolar,Tomato,1004.44,1275.81,1628.23,1316.33
2016-03-13,Kolar,Tomato,904.45,1088.7,1220.76,1062.6
2016-03-14,Kolar,Tomato,1152.66,1282.42,1619.08,1385.87
2016-03-15,Kolar,Tomato,686.98,781.87,987.83,837.4
2016-03-16,Kolar,Tomato,914.75,1196.36,1602.0,1258.37
2016-03-17,Kolar,Tomato,949.76,1109.59,1221.39,1085.57
2016-03-18,Kolar,Tomato,853.62,1064.59,1237.03,1045.33
2016-03-19,Kolar,Tomato,835.7,1112.71,1482.08,1158.89
2016-03-20,Kolar,Tomato,700.57,864.34,1152.2,926.39
2016-03-21,Kolar,Tomato,846.11,1077.55,1379.43,1112.77
2016-03-22,Kolar,Tomato,1001.79,1147.74,1482.24,1242.01
2016-03-23,Kolar,Tomato,1027.27,1283.12,1440.78,1234.03
2016-03-24,Kolar,Tomato,912.93,1044.38,1282.99,1097.96
2016-03-25,Kolar,Tomato,757.79,1010.27,1169.78,963.79
2016-03-26,Kolar,Tomato,834.15,1047.7,1199.93,1017.04
2016-03-27,Kolar,Tomato,957.79,1218.29,1586.92,1272.35
2016-03-28,Kolar,Tomato,901.49,1148.34,1301.94,1101.72
2016-03-29,Kolar,Tomato,794.95,1045.68,1272.76,1033.86
2016-03-30,Kolar,Tomato,911.2,1171.11,1563.01,1237.11
2016-03-31,Kolar,Tomato,934.45,1121.35,1285.58,1110.01
2016-04-01,Kolar,Tomato,973.1,1226.03,1648.39,1310.74
2016-04-02,Kolar,Tomato,833.37,1025.54,1383.02,1108.19
2016-04-03,Kolar,Tomato,863.3,1070.38,1326.1,1094.7
2016-04-04,Kolar,Tomato,936.45,1062.48,1213.92,1075.18
2016-04-05,Kolar,Tomato,827.02,933.64,1100.79,963.9
2016-04-06,Kolar,Tomato,942.96,1144.45,1380.34,1161.65
2016-04-07,Kolar,Tomato,911.3,1139.8,1341.92,1126.61
2016-04-08,Kolar,Tomato,849.18,1108.56,1297.19,1073.18
2016-04-09,Kolar,Tomato,963.72,1079.18,1449.4,1206.56
2016-04-10,Kolar,Tomato,711.05,936.78,1066.37,888.71
2016-04-11,Kolar,Tomato,838.63,1055.35,1354.37,1096.5
2016-04-12,Kolar,Tomato,845.43,1063.83,1170.32,1007.88
2016-04-13,Kolar,Tomato,804.21,1007.71,1258.68,1031.45
2016-04-14,Kolar,Tomato,839.39,1083.58,1440.06,1139.72
2016-04-15,Kolar,Tomato,997.84,1150.28,1348.11,1172.97
2016-04-16,Kolar,Tomato,1019.56,1326.91,1521.15,1270.35
2016-04-17,Kolar,Tomato,946.84,1120.21,1414.73,1180.78
2016-04-18,Kolar,Tomato,867.54,1128.77,1442.73,1155.14
2016-04-19,Kolar,Tomato,827.09,1087.45,1383.24,1105.17
2016-04-20,Kolar,Tomato,766.36,864.56,1020.04,893.2
2016-04-21,Kolar,Tomato,848.57,1089.99,1267.71,1058.14
2016-04-22,Kolar,Tomato,959.34,1098.66,1471.09,1215.21
2016-04-23,Kolar,Tomato,1152.07,1385.21,1843.47,1497.77
2016-04-24,Kolar,Tomato,810.91,1064.64,1292.82,1051.87
2016-04-25,Kolar,Tomato,1002.24,1121.93,1471.47,1236.85
2016-04-26,Kolar,Tomato,849.63,1079.52,1309.55,1079.59
2016-04-27,Kolar,Tomato,827.36,941.31,1135.31,981.33
2016-04-28,Kolar,Tomato,943.15,1216.47,1385.79,1164.47
2016-04-29,Kolar,Tomato,1024.96,1167.26,1408.42,1216.69
2016-04-30,Kolar,Tomato,879.51,1169.58,1443.68,1161.59
2016-05-01,Kolar,Tomato,796.24,963.08,1064.8,930.52
2016-05-02,Kolar,Tomato,1071.39,1238.01,1499.26,1285.33
2016-05-03,Kolar,Tomato,800.17,898.84,1164.31,982.24
2016-05-04,Kolar,Tomato,1005.87,1134.81,1441.22,1223.55
2016-05-05,Kolar,Tomato,1156.2,1324.48,1667.25,1411.72
2016-05-06,Kolar,Tomato,830.18,939.94,1247.66,1038.92
2016-05-07,Kolar,Tomato,770.48,987.94,1091.19,930.84
2016-05-08,Kolar,Tomato,844.06,1064.89,1319.67,1081.86
2016-05-09,Kolar,Tomato,784.99,989.47,1283.18,1034.08
2016-05-10,Kolar,Tomato,694.2,860.69,1063.24,878.72
2016-05-11,Kolar,Tomato,850.92,1051.82,1242.17,1046.54
2016-05-12,Kolar,Tomato,759.21,912.86,1035.24,897.23
2016-05-13,Kolar,Tomato,846.62,1093.85,1445.95,1146.29
2016-05-14,Kolar,Tomato,788.21,923.31,1124.3,956.26
2016-05-15,Kolar,Tomato,942.7,1216.18,1604.79,1273.75
2016-05-16,Kolar,Tomato,742.93,932.69,1162.56,952.74
2016-05-17,Kolar,Tomato,812.67,984.46,1248.83,1030.75
2016-05-18,Kolar,Tomato,971.27,1117.09,1453.4,1212.34
2016-05-19,Kolar,Tomato,747.34,868.07,1097.92,922.63
2016-05-20,Kolar,Tomato,880.12,1039.31,1246.66,1063.39
2016-05-21,Kolar,Tomato,901.01,1165.06,1431.16,1166.09
2016-05-22,Kolar,Tomato,675.16,811.43,1055.48,865.32
2016-05-23,Kolar,Tomato,780.33,1022.56,1220.33,1000.33
2016-05-24,Kolar,Tomato,828.87,1027.6,1230.07,1029.47
2016-05-25,Kolar,Tomato,882.02,1086.2,1220.81,1051.42
2016-05-26,Kolar,Tomato,634.91,839.86,1115.88,875.39
2016-05-27,Kolar,Tomato,653.21,825.7,927.06,790.14
2016-05-28,Kolar,Tomato,931.4,1042.6,1315.81,1123.61
2016-05-29,Kolar,Tomato,903.2,1011.37,1216.98,1060.09
2016-05-30,Kolar,Tomato,804.06,1001.5,1203.21,1003.63
2016-05-31,Kolar,Tomato,763.04,1008.69,1280.92,1021.98
2016-06-01,Kolar,Tomato,684.52,881.13,984.03,834.28
2016-06-02,Kolar,Tomato,797.66,986.19,1231.19,1014.42
2016-06-03,Kolar,Tomato,882.38,989.03,1278.82,1080.6
2016-06-04,Kolar,Tomato,666.02,863.64,1128.82,897.42
2016-06-05,Kolar,Tomato,1010.38,1168.71,1335.41,1172.89
2016-06-06,Kolar,Tomato,764.08,997.1,1320.51,1042.3
2016-06-07,Kolar,Tomato,711.17,792.67,1001.96,856.57
2016-06-08,Kolar,Tomato,815.12,1009.76,1333.35,1074.24
2016-06-09,Kolar,Tomato,701.11,809.33,988.45,844.78
2016-06-10,Kolar,Tomato,814.23,1016.02,1255.31,1034.77
2016-06-11,Kolar,Tomato,891.3,1055.86,1404.04,1147.67
2016-06-12,Kolar,Tomato,633.61,813.57,1077.96,855.79
2016-06-13,Kolar,Tomato,789.54,1022.85,1239.74,1014.64
2016-06-14,Kolar,Tomato,847.91,951.95,1112.45,980.18
2016-06-15,Kolar,Tomato,884.28,996.21,1193.75,1039.02
2016-06-16,Kolar,Tomato,989.36,1120.3,1340.93,1165.14
2016-06-17,Kolar,Tomato,724.28,858.33,1005.73,865.0
2016-06-18,Kolar,Tomato,690.38,792.41,924.86,807.62
2016-06-19,Kolar,Tomato,586.37,771.18,1014.3,800.34
2016-06-20,Kolar,Tomato,620.22,775.06,866.11,743.16
2016-06-21,Kolar,Tomato,684.46,858.73,1090.08,887.27
2016-06-22,Kolar,Tomato,764.14,903.93,1033.38,898.76
2016-06-23,Kolar,Tomato,715.98,891.2,1057.07,886.53
2016-06-24,Kolar,Tomato,735.39,952.24,1062.12,898.75
2016-06-25,Kolar,Tomato,713.14,849.51,991.8,852.47
2016-06-26,Kolar,Tomato,887.29,1017.35,1314.52,1100.9
2016-06-27,Kolar,Tomato,650.8,806.12,1065.09,857.95
2016-06-28,Kolar,Tomato,892.44,1159.26,1339.38,1115.91
2016-06-29,Kolar,Tomato,703.79,902.87,1097.78,900.79
2016-06-30,Kolar,Tomato,565.55,719.88,876.51,721.03
2016-07-01,Kolar,Tomato,547.88,689.17,908.6,728.24
2016-07-02,Kolar,Tomato,736.83,870.53,1123.59,930.21
2016-07-03,Kolar,Tomato,655.95,780.76,958.99,807.47
2016-07-04,Kolar,Tomato,758.9,888.21,1125.98,942.44
2016-07-05,Kolar,Tomato,687.16,854.28,1120.68,903.92
2016-07-06,Kolar,Tomato,684.66,783.72,863.96,774.31
2016-07-07,Kolar,Tomato,535.36,685.82,823.47,679.41
2016-07-08,Kolar,Tomato,492.73,600.63,796.92,644.83
2016-07-09,Kolar,Tomato,629.83,723.83,930.17,780.0
2016-07-10,Kolar,Tomato,680.04,875.18,1081.47,880.76
2016-07-11,Kolar,Tomato,607.92,793.13,977.46,792.69
2016-07-12,Kolar,Tomato,540.99,612.98,727.58,634.28
2016-07-13,Kolar,Tomato,623.77,778.31,957.42,790.6
2016-07-14,Kolar,Tomato,681.07,798.84,1009.61,845.34
2016-07-15,Kolar,Tomato,483.66,641.63,772.9,628.28
2016-07-16,Kolar,Tomato,649.74,761.26,973.3,811.52
2016-07-17,Kolar,Tomato,594.02,744.93,979.82,786.92
2016-07-18,Kolar,Tomato,451.95,595.95,678.6,565.27
2016-07-19,Kolar,Tomato,648.97,771.23,935.42,792.2
2016-07-20,Kolar,Tomato,621.67,790.81,950.56,786.12
2016-07-21,Kolar,Tomato,685.79,848.73,1079.47,882.63
2016-07-22,Kolar,Tomato,640.53,840.5,977.05,808.79
2016-07-23,Kolar,Tomato,420.03,544.03,685.51,552.77
2016-07-24,Kolar,Tomato,470.58,592.15,781.27,625.92
2016-07-25,Kolar,Tomato,581.66,761.87,917.7,749.68
2016-07-26,Kolar,Tomato,671.29,757.13,1005.29,838.29
2016-07-27,Kolar,Tomato,565.23,752.73,1014.9,790.07
2016-07-28,Kolar,Tomato,944.93,1148.74,1294.09,1119.51
2016-07-29,Kolar,Tomato,576.71,750.45,869.22,722.97
2016-07-30,Kolar,Tomato,647.9,813.78,1088.51,868.21
2016-07-31,Kolar,Tomato,700.11,787.61,1055.07,877.59
2016-08-01,Kolar,Tomato,578.33,746.96,839.9,709.12
2016-08-02,Kolar,Tomato,560.78,626.66,691.68,626.23
2016-08-03,Kolar,Tomato,586.68,751.32,856.71,721.7
2016-08-04,Kolar,Tomato,485.14,563.3,759.9,622.52
2016-08-05,Kolar,Tomato,518.73,623.47,713.88,616.3
2016-08-06,Kolar,Tomato,520.38,589.55,722.57,621.47
2016-08-07,Kolar,Tomato,544.48,653.56,857.55,701.01
2016-08-08,Kolar,Tomato,761.7,917.5,1013.93,887.81
2016-08-09,Kolar,Tomato,320.87,411.73,515.13,418.0
2016-08-10,Kolar,Tomato,553.51,714.27,835.16,694.34
2016-08-11,Kolar,Tomato,385.66,434.56,571.7,478.68
2016-08-12,Kolar,Tomato,453.68,567.69,664.68,559.18
2016-08-13,Kolar,Tomato,605.39,751.28,955.39,780.39
2016-08-14,Kolar,Tomato,539.7,624.67,792.43,666.06
2016-08-15,Kolar,Tomato,387.63,484.04,559.24,473.43
2016-08-16,Kolar,Tomato,467.83,524.0,580.96,524.4
2016-08-17,Kolar,Tomato,592.09,687.92,827.1,709.59
2016-08-18,Kolar,Tomato,432.68,515.33,604.12,518.4
2016-08-19,Kolar,Tomato,551.88,625.61,814.7,683.29
2016-08-20,Kolar,Tomato,455.86,601.84,782.45,619.15
2016-08-21,Kolar,Tomato,406.09,514.98,625.32,515.71
2016-08-22,Kolar,Tomato,694.59,847.32,1060.52,877.56
2016-08-23,Kolar,Tomato,519.86,663.05,829.52,674.69
2016-08-24,Kolar,Tomato,293.78,340.97,445.58,369.68
2016-08-25,Kolar,Tomato,535.79,603.45,727.91,631.85
2016-08-26,Kolar,Tomato,405.81,498.81,583.04,494.43
2016-08-27,Kolar,Tomato,543.09,677.74,790.42,666.76
2016-08-28,Kolar,Tomato,427.13,477.65,589.44,508.28
2016-08-29,Kolar,Tomato,454.39,556.36,674.46,564.43
2016-08-30,Kolar,Tomato,517.21,628.18,760.11,638.66
2016-08-31,Kolar,Tomato,537.03,668.99,751.14,644.09
2016-09-01,Kolar,Tomato,371.13,418.67,535.76,453.44
2016-09-02,Kolar,Tomato,434.59,520.25,600.08,517.33
2016-09-03,Kolar,Tomato,433.17,501.16,575.95,504.56
2016-09-04,Kolar,Tomato,416.35,477.59,574.64,495.49
2016-09-05,Kolar,Tomato,613.59,765.77,885.95,749.77
2016-09-06,Kolar,Tomato,489.45,600.51,748.22,618.84
2016-09-07,Kolar,Tomato,349.76,398.69,475.59,412.67
2016-09-08,Kolar,Tomato,529.6,658.31,798.02,663.81
2016-09-09,Kolar,Tomato,696.2,801.07,988.76,842.48
2016-09-10,Kolar,Tomato,595.86,668.64,769.53,682.69
2016-09-11,Kolar,Tomato,304.36,360.83,410.97,357.66
2016-09-12,Kolar,Tomato,416.45,483.55,638.33,527.39
2016-09-13,Kolar,Tomato,602.8,692.27,836.56,719.68
2016-09-14,Kolar,Tomato,398.03,453.99,546.16,472.09
2016-09-15,Kolar,Tomato,478.2,590.92,655.27,566.74
2016-09-16,Kolar,Tomato,476.93,629.45,770.76,623.85
2016-09-17,Kolar,Tomato,343.72,424.19,525.38,434.55
2016-09-18,Kolar,Tomato,448.76,527.29,653.69,551.23
2016-09-19,Kolar,Tomato,163.51,200.0,255.35,209.43
2016-09-20,Kolar,Tomato,353.38,409.79,468.96,411.17
2016-09-21,Kolar,Tomato,403.13,501.69,583.49,493.31
2016-09-22,Kolar,Tomato,322.55,381.62,497.13,409.84
2016-09-23,Kolar,Tomato,565.34,726.69,971.44,768.39
2016-09-24,Kolar,Tomato,309.37,358.73,406.79,358.08
2016-09-25,Kolar,Tomato,396.93,477.16,584.24,490.59
2016-09-26,Kolar,Tomato,425.72,545.37,629.11,527.42
2016-09-27,Kolar,Tomato,557.59,702.44,783.23,670.41
2016-09-28,Kolar,Tomato,307.9,357.07,421.84,364.87
2016-09-29,Kolar,Tomato,550.13,668.94,759.86,654.99
2016-09-30,Kolar,Tomato,415.19,530.65,677.9,546.54
2016-10-01,Kolar,Tomato,368.6,411.8,507.93,438.27
2016-10-02,Kolar,Tomato,501.74,585.28,664.86,583.3
2016-10-03,Kolar,Tomato,495.09,554.05,610.74,552.91
2016-10-04,Kolar,Tomato,373.3,458.56,597.07,485.18
2016-10-05,Kolar,Tomato,443.05,539.48,617.19,530.12
2016-10-06,Kolar,Tomato,429.49,485.47,607.59,518.54
2016-10-07,Kolar,Tomato,452.51,546.01,646.61,549.56
2016-10-08,Kolar,Tomato,524.46,612.62,763.56,644.01
2016-10-09,Kolar,Tomato,570.67,724.36,853.95,712.31
2016-10-10,Kolar,Tomato,315.73,386.45,433.49,374.61
2016-10-11,Kolar,Tomato,608.66,791.99,915.33,762.0
2016-10-12,Kolar,Tomato,236.54,302.9,347.44,291.99
2016-10-13,Kolar,Tomato,390.19,520.16,627.83,509.01
2016-10-14,Kolar,Tomato,461.3,610.27,771.73,616.51
2016-10-15,Kolar,Tomato,515.34,574.78,670.16,592.75
2016-10-16,Kolar,Tomato,367.86,467.81,516.0,441.93
2016-10-17,Kolar,Tomato,440.99,519.11,638.37,539.68
2016-10-18,Kolar,Tomato,426.17,486.57,608.92,517.54
2016-10-19,Kolar,Tomato,396.93,476.74,639.17,518.05
2016-10-20,Kolar,Tomato,503.38,651.22,812.32,657.85
2016-10-21,Kolar,Tomato,510.38,594.01,723.38,616.88
2016-10-22,Kolar,Tomato,394.81,470.0,584.37,489.59
2016-10-23,Kolar,Tomato,570.11,663.16,883.31,726.71
2016-10-24,Kolar,Tomato,514.28,594.23,776.71,645.49
2016-10-25,Kolar,Tomato,588.98,657.12,775.89,682.43
2016-10-26,Kolar,Tomato,532.92,637.43,738.99,635.95
2016-10-27,Kolar,Tomato,372.41,464.78,541.78,457.09
2016-10-28,Kolar,Tomato,423.22,499.5,612.45,517.83
2016-10-29,Kolar,Tomato,500.97,658.94,847.41,674.19
2016-10-30,Kolar,Tomato,570.69,645.13,790.81,680.75
2016-10-31,Kolar,Tomato,439.3,572.08,638.98,539.14
2016-11-01,Kolar,Tomato,472.67,591.44,757.57,615.12
2016-11-02,Kolar,Tomato,639.9,733.53,954.69,797.29
2016-11-03,Kolar,Tomato,430.0,512.15,600.43,515.21
2016-11-04,Kolar,Tomato,527.32,651.79,825.18,676.25
2016-11-05,Kolar,Tomato,463.83,564.94,681.69,572.76
2016-11-06,Kolar,Tomato,497.25,566.23,748.71,622.98
2016-11-07,Kolar,Tomato,582.66,727.42,953.87,768.27
2016-11-08,Kolar,Tomato,614.46,697.9,859.37,736.92
2016-11-09,Kolar,Tomato,534.12,699.83,890.79,712.46
2016-11-10,Kolar,Tomato,660.54,762.29,1006.86,833.7
2016-11-11,Kolar,Tomato,536.49,611.64,748.61,642.55
2016-11-12,Kolar,Tomato,539.83,694.51,818.35,679.09
2016-11-13,Kolar,Tomato,471.68,579.07,746.08,608.88
2016-11-14,Kolar,Tomato,510.52,658.89,761.03,635.78
2016-11-15,Kolar,Tomato,520.55,608.12,728.0,624.28
2016-11-16,Kolar,Tomato,530.72,639.19,841.45,686.09
2016-11-17,Kolar,Tomato,594.12,702.85,900.42,747.27
2016-11-18,Kolar,Tomato,418.71,537.18,645.12,531.92
2016-11-19,Kolar,Tomato,696.11,890.44,1027.29,861.7
2016-11-20,Kolar,Tomato,395.27,522.69,621.47,508.37
2016-11-21,Kolar,Tomato,400.6,501.81,587.64,494.12
2016-11-22,Kolar,Tomato,659.37,790.65,904.52,781.95
2016-11-23,Kolar,Tomato,659.81,750.9,965.53,812.67
2016-11-24,Kolar,Tomato,624.83,735.06,854.89,739.86
2016-11-25,Kolar,Tomato,603.24,739.89,897.89,750.57
2016-11-26,Kolar,Tomato,595.96,667.4,798.52,697.24
2016-11-27,Kolar,Tomato,485.24,565.62,761.05,623.14
2016-11-28,Kolar,Tomato,610.98,686.86,822.7,716.84
2016-11-29,Kolar,Tomato,498.33,601.02,673.14,585.73
2016-11-30,Kolar,Tomato,634.11,803.85,902.29,768.2
2016-12-01,Kolar,Tomato,510.69,673.8,840.69,675.69
2016-12-02,Kolar,Tomato,512.8,597.04,746.2,629.5
2016-12-03,Kolar,Tomato,508.72,662.22,797.77,653.24
2016-12-04,Kolar,Tomato,600.6,755.07,912.1,756.35
2016-12-05,Kolar,Tomato,533.31,642.64,715.57,624.44
2016-12-06,Kolar,Tomato,514.51,616.43,757.68,636.1
2016-12-07,Kolar,Tomato,629.38,749.18,918.64,774.01
2016-12-08,Kolar,Tomato,584.47,754.22,857.84,721.15
2016-12-09,Kolar,Tomato,539.77,668.9,753.15,646.46
2016-12-10,Kolar,Tomato,571.4,678.15,766.92,669.16
2016-12-11,Kolar,Tomato,687.27,767.49,863.63,775.45
2016-12-12,Kolar,Tomato,490.47,570.88,714.99,602.73
2016-12-13,Kolar,Tomato,515.96,580.78,667.39,591.68
2016-12-14,Kolar,Tomato,577.83,668.52,777.4,677.61
2016-12-15,Kolar,Tomato,615.82,734.2,839.48,727.65
2016-12-16,Kolar,Tomato,624.78,802.23,1074.55,849.67
2016-12-17,Kolar,Tomato,805.03,947.09,1244.15,1024.59
2016-12-18,Kolar,Tomato,740.69,878.11,1016.52,878.6
2016-12-19,Kolar,Tomato,639.66,761.16,899.61,769.63
2016-12-20,Kolar,Tomato,644.98,783.25,902.68,773.83
2016-12-21,Kolar,Tomato,555.98,670.43,819.91,687.95
2016-12-22,Kolar,Tomato,635.11,793.72,876.98,756.04
2016-12-23,Kolar,Tomato,634.6,766.52,971.83,803.22
2016-12-24,Kolar,Tomato,658.89,845.12,1040.17,849.53
2016-12-25,Kolar,Tomato,620.32,712.37,943.65,781.98
2016-12-26,Kolar,Tomato,683.91,879.21,1003.27,843.59
2016-12-27,Kolar,Tomato,767.38,1006.08,1308.93,1038.16
2016-12-28,Kolar,Tomato,664.06,814.36,1057.03,860.54
2016-12-29,Kolar,Tomato,747.65,880.88,996.98,872.31
2016-12-30,Kolar,Tomato,751.03,920.76,1104.58,927.8
2016-12-31,Kolar,Tomato,629.31,795.07,908.39,768.85
2017-01-01,Kolar,Tomato,726.59,871.5,1014.15,870.37
2017-01-02,Kolar,Tomato,682.86,851.39,992.56,837.71
2017-01-03,Kolar,Tomato,771.45,866.86,1074.09,922.77
2017-01-04,Kolar,Tomato,681.97,767.64,923.36,802.66
2017-01-05,Kolar,Tomato,716.9,868.59,1161.25,939.08
2017-01-06,Kolar,Tomato,743.77,930.66,1053.13,898.45
2017-01-07,Kolar,Tomato,903.83,1050.27,1410.96,1157.4
2017-01-08,Kolar,Tomato,752.84,996.47,1153.58,953.21
2017-01-09,Kolar,Tomato,940.26,1144.96,1480.68,1210.47
2017-01-10,Kolar,Tomato,640.11,799.69,947.43,793.77
2017-01-11,Kolar,Tomato,889.53,1001.64,1137.63,1013.58
2017-01-12,Kolar,Tomato,694.76,924.13,1214.74,954.75
2017-01-13,Kolar,Tomato,974.56,1170.05,1377.4,1175.98
2017-01-14,Kolar,Tomato,702.15,815.41,1031.26,866.7
2017-01-15,Kolar,Tomato,671.98,816.75,1014.08,843.03
2017-01-16,Kolar,Tomato,648.9,850.67,1036.07,842.49
2017-01-17,Kolar,Tomato,602.74,672.79,823.47,713.1
2017-01-18,Kolar,Tomato,719.78,869.61,1115.76,917.77
2017-01-19,Kolar,Tomato,712.96,846.61,949.85,831.4
2017-01-20,Kolar,Tomato,754.65,960.74,1217.3,985.97
2017-01-21,Kolar,Tomato,813.19,988.65,1308.93,1061.06
2017-01-22,Kolar,Tomato,959.09,1177.7,1312.48,1135.78
2017-01-23,Kolar,Tomato,815.66,1071.5,1216.32,1015.99
2017-01-24,Kolar,Tomato,684.02,893.07,1142.38,913.2
2017-01-25,Kolar,Tomato,752.43,859.31,1039.18,895.8
2017-01-26,Kolar,Tomato,810.28,1030.93,1238.02,1024.15
2017-01-27,Kolar,Tomato,637.58,818.21,928.05,782.81
2017-01-28,Kolar,Tomato,991.8,1201.11,1473.4,1232.6
2017-01-29,Kolar,Tomato,975.67,1127.53,1275.96,1125.81
2017-01-30,Kolar,Tomato,709.42,934.32,1139.08,924.25
2017-01-31,Kolar,Tomato,660.53,789.61,1019.32,839.92
2017-02-01,Kolar,Tomato,892.42,1162.18,1353.44,1122.93
2017-02-02,Kolar,Tomato,748.26,990.46,1208.55,978.41
2017-02-03,Kolar,Tomato,877.04,1157.18,1559.88,1218.46
2017-02-04,Kolar,Tomato,719.08,821.69,1044.92,882.0
2017-02-05,Kolar,Tomato,725.81,945.43,1238.84,982.32
2017-02-06,Kolar,Tomato,773.63,1022.27,1230.52,1002.07
2017-02-07,Kolar,Tomato,841.39,1031.51,1332.68,1087.03
2017-02-08,Kolar,Tomato,855.6,976.04,1083.53,969.57
2017-02-09,Kolar,Tomato,875.34,1108.92,1253.88,1064.61
